vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1002726,0,494,0,1
1002727,0,496,0,1
1002728,0,501,0,1
1002729,0,498,0,1
1002730,0,501,0,1
1002731,0,500,0,1
1002732,0,504,0,1
1002733,0,500,0,1
1002734,0,496,0,1
1002735,0,505,0,1
1002736,0,503,0,1
1002737,0,500,1,1
1002738,0,505,0,1
1002739,0,490,0,1
1002740,0,501,0,1
1002741,0,499,0,1
1002742,0,502,0,1
1002743,0,500,0,1
1002744,0,500,0,1
1002745,0,500,0,1
1002746,0,498,0,1
1002747,0,503,0,1
1002748,0,499,0,1
1002749,0,503,0,1
1002750,0,499,0,1
1002751,0,505,0,1
1002752,0,505,0,1
1002753,0,359,0,1
1002956,0,283,0,1
1003001,0,101,0,1
1003038,0,185,0,1
1003039,0,500,0,1
1003040,0,498,0,1
1003041,0,500,1,1
1003042,0,502,0,1
1003043,0,501,0,1
1003044,0,501,0,1
1003045,0,503,0,1
1003046,0,502,0,1
1003047,0,504,0,1
1003048,0,501,0,1
1003049,0,502,0,1
1003050,0,500,0,1
1003051,0,503,0,1
1003052,0,501,0,1
1003053,0,503,0,1
1003054,0,503,0,1
1003055,0,507,0,1
1003056,0,55,0,1
1003122,0,173,0,1
1003123,0,497,0,1
1003124,0,277,0,1
1003176,0,295,0,1
1003177,0,490,0,1
1003178,0,141,0,1
1003200,0,213,0,1
1003201,0,501,0,1
1003202,0,230,0,1
1003311,0,287,0,1
1003330,0,80,0,1
1003331,0,211,0,1
1003464,0,474,0,1
1003465,0,446,0,1
10035,0,298,0,1
1003615,0,117,0,1
1003616,0,498,0,1
1003617,0,502,0,1
1003618,0,493,0,1
1003619,0,502,0,1
1003620,0,496,0,1
1003621,0,498,0,1
1003622,0,494,0,1
1003623,0,498,0,1
1003624,0,502,0,1
1003625,0,496,0,1
1003626,0,503,0,1
1003627,0,499,0,1
1003628,0,498,0,1
1003629,0,497,0,1
1003630,0,498,0,1
1003631,0,499,0,1
1003632,0,496,0,1
1003633,0,3,0,1
1003668,0,97,0,1
1003720,0,433,0,1
1003721,0,498,0,1
1003722,0,27,0,1
1003771,0,275,0,1
1003772,0,7,0,1
1003823,0,0,0,1
1003938,0,333,0,1
1003939,0,496,0,1
1003940,0,110,0,1
1003953,0,405,0,1
1003954,0,500,0,1
1003955,0,502,0,1
1003956,0,495,0,1
1003957,0,494,0,1
1003958,0,500,0,1
1003959,0,502,0,1
1003960,0,502,0,1
1003961,0,499,0,1
1003962,0,497,0,1
1003963,0,502,0,1
1003964,0,504,0,1
