vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
209308,0,786,0,4
209309,0,801,0,3
209310,0,833,0,3
209311,0,818,0,3
209312,0,847,0,3
209313,0,815,0,3
209314,0,801,0,3
209315,0,832,0,3
209316,0,823,0,3
209317,0,825,0,3
209318,0,812,0,3
209319,0,819,0,3
209320,0,800,0,4
209321,0,820,0,3
209322,0,839,0,3
209323,0,806,0,3
209324,0,820,0,3
209325,0,821,0,3
209326,0,828,0,3
209327,0,821,0,3
209328,0,802,0,3
209329,0,818,0,3
209330,0,822,0,3
209331,0,827,0,3
209332,0,826,0,3
209333,0,851,0,3
209334,0,810,0,3
209335,0,810,0,3
209336,0,800,0,3
209337,0,828,0,4
209338,0,823,0,3
209339,0,818,0,3
209340,0,818,0,3
209341,0,822,0,3
209342,0,811,0,4
209343,0,806,0,3
209344,0,817,0,3
209345,0,818,0,3
209346,0,786,0,3
209347,0,821,0,3
209348,0,818,0,4
209349,0,804,0,4
209350,0,830,0,4
209351,0,843,0,3
209352,0,847,0,3
209353,0,800,0,3
209354,0,819,0,3
209355,0,803,0,3
209356,0,831,0,3
209357,0,844,0,3
209358,0,858,0,3
209359,0,822,0,3
209360,0,822,0,3
209361,0,820,0,3
209362,0,816,0,3
209363,0,824,0,3
209364,0,808,0,3
209365,0,798,0,3
209366,0,813,0,3
209367,0,817,0,3
209368,0,783,0,3
209369,0,812,0,3
209370,0,824,0,3
209371,0,818,0,3
209372,0,821,0,3
209373,0,789,0,3
209374,0,801,0,3
209375,0,826,0,3
209376,0,807,0,3
209377,0,818,0,3
209378,0,787,0,4
209379,0,820,0,4
209380,0,817,0,3
209381,0,840,0,3
209382,0,825,0,3
209383,0,836,0,3
209384,0,833,0,3
209385,0,806,0,3
209386,0,821,0,3
209387,0,857,0,3
209388,0,814,0,3
209389,0,807,0,3
209390,0,802,0,3
209391,0,805,0,3
209392,0,836,0,3
209393,0,809,0,3
209394,0,826,0,3
209395,0,823,0,3
209396,0,796,0,3
209397,0,801,0,3
209398,0,812,0,3
209399,0,803,0,4
209400,0,849,0,3
209401,0,803,0,3
209402,0,827,0,3
209403,0,827,0,3
209404,0,801,0,3
209405,0,826,0,3
209406,0,827,0,3
209407,0,819,0,4
209408,0,850,0,3
209409,0,834,1,3
209410,0,829,0,4
209411,0,806,0,3
209412,0,826,0,4
209413,0,819,0,3
209414,0,810,0,3
209415,0,829,0,4
209416,0,847,0,3
209417,0,821,0,3
209418,0,824,0,3
209419,0,810,0,3
209420,0,792,0,3
209421,0,831,0,3
209422,0,822,1,3
209423,0,798,0,4
209424,0,820,0,3
209425,0,825,0,3
209426,0,825,0,3
209427,0,825,0,3
209428,0,816,0,3
209429,0,821,0,3
209430,0,823,0,3
209431,0,820,0,3
209432,0,799,0,3
209433,0,828,0,3
209434,0,831,0,3
209435,0,787,0,4
209436,0,819,0,3
209437,0,787,0,3
209438,0,797,0,4
209439,0,825,0,3
209440,0,796,0,3
209441,0,822,0,4
209442,0,817,0,3
209443,0,809,0,3
209444,0,827,0,3
209445,0,815,0,3
209446,0,811,0,3
209447,0,834,0,3
209448,0,814,0,3
209449,0,806,0,3
209450,0,825,0,3
209451,0,842,0,3
209452,0,799,0,3
209453,0,816,0,3
209454,0,787,0,3
209455,0,809,0,3
209456,0,826,0,3
209457,0,810,0,3
