cycle      , unique_vpns, max_counter, mean_counter   , median_counter, std_counter        , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
10771525457,        4096,          62,  7.268310546875,            7.0,  6.433708810616986 ,           2913,           2867,             347,              26,        3198,      898,                2113
10781525978,        4096,          81,  7.269287109375,            7.0,  6.39484457880717  ,           2940,           2883,             335,              20,        3193,      903,                2089
10791526380,        4096,          64,  7.21923828125 ,            7.0,  6.3943701591544215,           2921,           2864,             349,              22,        3191,      905,                2101
10801526380,        4096,          55,  7.02294921875 ,            7.0,  6.185247435095767 ,           2868,           2817,             315,              14,        3147,      949,                2056
10811527096,        4096,          48,  7.243896484375,            7.0,  6.146116092341123 ,           2961,           2912,             357,              16,        3172,      924,                2069
10821527234,        4096,         124,  7.32666015625 ,            7.0,  6.781590730044001 ,           2965,           2919,             339,              23,        3218,      878,                2133
10831527721,        4096,          68,  7.004150390625,            7.0,  6.31081601616484  ,           2846,           2805,             321,              16,        3107,      989,                2051
10841528018,        4096,         104,  7.2783203125  ,            7.0,  6.344379487774979 ,           2963,           2915,             319,              17,        3119,      977,                2034
10851530298,        4096,         157,  7.060546875   ,            7.0,  6.494720368859443 ,           2932,           2879,             307,              14,        3195,      901,                2122
10861531026,        4096,          84,  6.73681640625 ,            7.0,  6.264987656291178 ,           2826,           2777,             288,              11,        3062,     1034,                2005
10871531526,        4096,          83,  7.06982421875 ,            7.0,  6.108596303343834 ,           2942,           2900,             279,              13,        3099,      997,                2019
10881531887,        4096,          90,  7.24609375    ,            7.0,  6.380128480580225 ,           2968,           2926,             318,              23,        3220,      876,                2138
10891532942,        4096,          77,  6.93017578125 ,            7.0,  6.268060434434719 ,           2863,           2824,             322,              17,        3129,      967,                2063
10901533110,        4096,          70,  7.11962890625 ,            7.0,  6.091974537745494 ,           2955,           2911,             309,              14,        3152,      944,                2067
10911533703,        4096,         102,  6.927490234375,            7.0,  6.21614786560085  ,           2924,           2869,             287,              17,        3196,      900,                2115
10921534172,        4096,          75,  6.900146484375,            7.0,  6.031658015508035 ,           2879,           2834,             313,              10,        3101,      995,                2032
10931534318,        4096,          58,  7.04638671875 ,            7.0,  6.0429611551228435,           2958,           2913,             293,              18,        3161,      935,                2086
10941534518,        4096,         110,  6.99560546875 ,            7.0,  6.266500112251263 ,           2972,           2922,             274,              14,        3204,      892,                2128
10951536699,        4096,          70,  6.933349609375,            7.0,  5.963897005402972 ,           2938,           2899,             284,              19,        3179,      917,                2106
10961536968,        4096,          95,  6.853271484375,            7.0,  5.930440214126392 ,           2973,           2930,             249,              15,        3200,      896,                2133
10971537413,        4096,          47,  6.81494140625 ,            7.0,  5.728597344518924 ,           2993,           2949,             261,              12,        3260,      836,                2207
10981537675,        4096,          73,  6.7880859375  ,            7.0,  6.0374817747231955,           2936,           2891,             272,              14,        3213,      883,                2145
10991537796,        4096,          59,  6.69140625    ,            7.0,  5.865766045770232 ,           2940,           2883,             257,              17,        3193,      903,                2116
11001538474,        4096,          45,  6.419677734375,            7.0,  5.7220698606269105,           2833,           2785,             254,               8,        3047,     1049,                2003
11011539630,        4096,          50,  6.848876953125,            7.0,  5.817568666038951 ,           2979,           2932,             274,               9,        3121,      975,                2056
11021539981,        4096,          47,  6.643310546875,            7.0,  5.521837787902175 ,           2967,           2921,             236,               8,        3212,      884,                2157
11031540223,        4096,          58,  6.651611328125,            7.0,  5.758355201807559 ,           2904,           2873,             242,              12,        3159,      937,                2103
11041540538,        4096,          55,  6.69921875    ,            7.0,  5.679713022208819 ,           2967,           2924,             242,              13,        3169,      927,                2102
11051540552,        4096,         112,  6.377685546875,            6.0,  6.148883609510488 ,           2798,           2758,             238,              16,        3068,     1028,                2024
11061540692,        4096,          62,  6.8505859375  ,            7.0,  5.789617226158155 ,           2982,           2938,             258,              12,        3092,     1004,                2031
11071541664,        4096,          54,  6.68994140625 ,            7.0,  5.693125342765762 ,           2980,           2925,             254,               7,        3223,      873,                2171
11081542007,        4096,         134,  6.596923828125,            7.0,  6.029701898957493 ,           2917,           2866,             228,              11,        3161,      935,                2138
11091542066,        4096,          40,  6.686767578125,            7.0,  5.637770287024944 ,           2978,           2929,             242,              11,        3160,      936,                2097
11101542537,        4096,          52,  6.458251953125,            7.0,  5.619807957179865 ,           2878,           2832,             216,              12,        3084,     1012,                2055
11111542587,        4096,          48,  6.6201171875  ,            7.0,  5.585208701227474 ,           2976,           2928,             222,              11,        3132,      964,                2084
11122342978,        4096,          41,  6.628173828125,            7.0,  5.332561128438546 ,           3057,           2986,             222,               5,        3224,      872,                2204
11132343945,        4096,          74,  6.67431640625 ,            7.0,  5.757542990765426 ,           2978,           2929,             219,              13,        3222,      874,                2199
11142343946,        4096,          95,  6.55517578125 ,            6.0,  5.8039152471123705,           2984,           2925,             215,              17,        3211,      885,                2165
11152345388,        4096,          57,  6.401611328125,            6.5,  5.398711085805266 ,           2944,           2889,             202,               8,        3156,      940,                2126
11162345424,        4096,          58,  6.356689453125,            6.0,  5.3849806661356165,           2981,           2906,             196,               9,        3187,      909,                2140
11172345532,        4096,          68,  6.3271484375  ,            6.0,  5.4892833514349855,           2911,           2860,             206,               8,        3139,      957,                2107
11182346028,        4096,          45,  6.45361328125 ,            7.0,  5.3245540297825515,           3013,           2959,             189,              10,        3173,      923,                2134
11192347521,        4096,          61,  6.270751953125,            6.0,  5.591627043111334 ,           2893,           2835,             210,              11,        3155,      941,                2131
11202348692,        4096,          47,  6.388916015625,            6.0,  5.304070904589736 ,           2986,           2924,             185,               9,        3151,      945,                2092
11212349734,        4096,          61,  5.95947265625 ,            6.0,  5.413860080562534 ,           2809,           2754,             195,               7,        3049,     1047,                2014
11222350701,        4096,          48,  6.47216796875 ,            7.0,  5.295165357124034 ,           2987,           2934,             183,               8,        3077,     1019,                2034
11232359120,        4096,          44,  6.269287109375,            6.0,  5.066066845280415 ,           3064,           2991,             189,               8,        3238,      858,                2208
11242359121,        4096,          43,  6.283935546875,            7.0,  5.093433247412377 ,           2986,           2937,             169,               7,        3225,      871,                2218
11252576998,        4096,          45,  6.13916015625 ,            6.0,  4.972450437878941 ,           3036,           2954,             165,               6,        3229,      867,                2210
11262577841,        4096,          65,  6.369140625   ,            6.0,  5.366223288913219 ,           3002,           2954,             163,              15,        3227,      869,                2198
11272577945,        4096,          40,  6.128662109375,            6.0,  4.881085821411684 ,           3074,           2987,             155,               3,        3260,      836,                2247
11282579136,        4096,          56,  6.3857421875  ,            7.0,  5.1354344840317765,           3028,           2974,             173,               5,        3226,      870,                2234
11292579137,        4096,          82,  6.036376953125,            6.0,  5.214153567014146 ,           3012,           2936,             154,               8,        3235,      861,                2211
11302579389,        4096,          37,  6.271728515625,            6.0,  5.072486440782393 ,           3007,           2938,             171,               7,        3195,      901,                2186
11312579583,        4096,          48,  5.79296875    ,            6.0,  5.198464445658298 ,           2810,           2755,             180,               7,        3062,     1034,                2060
11322579835,        4096,          63,  6.395263671875,            6.0,  5.346377920056802 ,           2990,           2924,             186,               9,        3036,     1060,                2027
11332580078,        4096,          42,  5.96435546875 ,            6.0,  5.173050185083455 ,           2862,           2790,             167,               5,        3042,     1054,                2038
11342581160,        4096,          41,  6.35888671875 ,            6.0,  5.120864292710251 ,           3047,           2964,             175,               5,        3104,      992,                2086
11352581231,        4096,          43,  6.01806640625 ,            6.0,  5.037279555843135 ,           2913,           2843,             155,               2,        3152,      944,                2147
11362582478,        4096,          46,  6.1650390625  ,            6.0,  4.903622743859801 ,           3058,           2982,             141,               4,        3156,      940,                2144
11372583310,        4096,          69,  6.0458984375  ,            6.0,  5.155477477492755 ,           2962,           2908,             167,               7,        3191,      905,                2210
11382583310,        4096,          38,  6.078369140625,            6.0,  4.896283754637051 ,           3062,           2967,             146,               6,        3189,      907,                2189
11392583349,        4096,          48,  5.980712890625,            6.0,  4.86465941362157  ,           3001,           2929,             139,               6,        3239,      857,                2239
11402583654,        4096,          65,  5.970947265625,            6.0,  4.994810361565325 ,           3063,           2965,             131,              10,        3247,      849,                2238
11412584605,        4096,          48,  5.93603515625 ,            6.0,  4.8384356232168715,           3008,           2945,             139,               6,        3234,      862,                2240
11422585778,        4096,          34,  5.426025390625,            6.0,  4.772141694346241 ,           2822,           2730,             125,               1,        3066,     1030,                2067
11432586565,        4096,          57,  6.050048828125,            6.0,  4.853838787411291 ,           3046,           2958,             121,               5,        3073,     1023,                2066
11442586640,        4096,          43,  5.9462890625  ,            6.0,  4.913663377912947 ,           2969,           2909,             140,               2,        3173,      923,                2178
11452586911,        4096,          55,  5.982177734375,            6.0,  4.776184484106848 ,           3082,           2997,             147,               4,        3205,      891,                2209
11462587115,        4096,          57,  5.896240234375,            6.0,  4.831206088588278 ,           3017,           2955,             125,               4,        3224,      872,                2242
11472587142,        4096,         144,  5.226318359375,            5.0,  5.2338666469766695,           2786,           2666,             113,               4,        3012,     1084,                2015
11482587165,        4096,          40,  6.10693359375 ,            6.0,  4.744784428088141 ,           3066,           2979,             127,               3,        3031,     1065,                2056
11492587452,        4096,          43,  5.8154296875  ,            6.0,  4.6887098658366195,           2961,           2889,             120,               1,        3163,      933,                2184
11502588007,        4096,          31,  5.77197265625 ,            6.0,  4.55920853183448  ,           3038,           2948,             123,               0,        3164,      932,                2181
11512589196,        4096,          40,  5.89892578125 ,            6.0,  4.746713379650606 ,           3047,           2961,             142,               2,        3204,      892,                2225
11522590452,        4096,          46,  5.47998046875 ,            6.0,  4.645918655752437 ,           2901,           2799,             111,               4,        3086,     1010,                2122
11532590725,        4096,          40,  5.81640625    ,            6.0,  4.6149049852040225,           3062,           2957,             114,               2,        3145,      951,                2170
11542590986,        4096,          42,  5.75244140625 ,            6.0,  4.600149018527609 ,           3004,           2916,             116,               2,        3181,      915,                2222
11552592006,        4096,          65,  5.265380859375,            5.0,  4.850059675803215 ,           2776,           2670,             118,               3,        2986,     1110,                2021
11562593145,        4096,          38,  6.021728515625,            6.0,  4.6721380089562565,           3094,           3000,             125,               5,        3039,     1057,                2071
11572594172,        4096,          43,  5.84033203125 ,            6.0,  4.685613608670186 ,           3011,           2922,             118,               4,        3202,      894,                2233
11582594838,        4096,          54,  5.19140625    ,            5.0,  4.656877513818776 ,           2774,           2664,             107,               1,        2950,     1146,                2000
11592594857,        4096,          50,  6.113037109375,            6.0,  4.844220335490443 ,           3116,           3011,             122,               6,        3050,     1046,                2088
11602596041,        4096,          39,  5.84716796875 ,            6.0,  4.642343093899243 ,           3044,           2951,             115,               5,        3218,      878,                2270
11612596312,        4096,          35,  5.317626953125,            5.0,  4.5809176458460295,           2851,           2730,             103,               1,        3050,     1046,                2099
11622596334,        4096,          71,  5.91259765625 ,            6.0,  4.7299306171239985,           3101,           2986,             114,               5,        3075,     1021,                2114
