cycle      , unique_vpns, max_counter, mean_counter  , median_counter, std_counter         , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
10820335623,        4096,           5, 0.54052734375 ,            0.0, 0.7203230850865251  ,           1739,              8,               0,               0,        4095,        1,                1524
10821335956,        4096,           5, 0.521240234375,            0.0, 0.7129782008895469  ,           1694,             11,               0,               0,        4094,        2,                1468
10822336095,        4096,           4, 0.486328125   ,            0.0, 0.6862976658010607  ,           1610,              7,               0,               0,        4095,        1,                1396
10823336296,        4096,           5, 0.50390625    ,            0.0, 0.7183996258775038  ,           1612,              9,               0,               0,        4095,        1,                1459
10824336897,        4096,           4, 0.484375      ,            0.0, 0.6915717492603353  ,           1582,             11,               0,               0,        4094,        2,                1385
10825338430,        4096,           5, 0.468017578125,            0.0, 0.6774496750246541  ,           1547,              6,               0,               0,        4094,        2,                1356
10826339346,        4096,           6, 0.46728515625 ,            0.0, 0.6665149953289972  ,           1566,              3,               0,               0,        4094,        2,                1383
10827340050,        4096,           5, 0.466796875   ,            0.0, 0.6905974922052891  ,           1532,             15,               0,               0,        4095,        1,                1361
10828340369,        4096,           6, 0.470947265625,            0.0, 0.6971171672504815  ,           1531,             11,               0,               0,        4094,        2,                1367
10829340791,        4096,           6, 0.4873046875  ,            0.0, 0.7128391195006959  ,           1564,             14,               0,               0,        4095,        1,                1384
10830341616,        4096,           4, 0.47216796875 ,            0.0, 0.6851570781846299  ,           1553,             10,               0,               0,        4095,        1,                1353
10831341743,        4096,           4, 0.45654296875 ,            0.0, 0.6804081396007374  ,           1492,              8,               0,               0,        4095,        1,                1323
10832342503,        4096,           5, 0.468994140625,            0.0, 0.7060809836232794  ,           1500,             12,               0,               0,        4094,        2,                1350
10833342704,        4096,           5, 0.46142578125 ,            0.0, 0.6885477232173723  ,           1506,             12,               0,               0,        4095,        1,                1327
10834343185,        4096,           5, 0.477783203125,            0.0, 0.6987674471429067  ,           1550,              9,               0,               0,        4094,        2,                1382
